month,avg_temp,avg_precip,max_temp,min_temp
2021-01,-7.27,1.75,2.9,-27.8
2021-02,-12.28,2.07,5.1,-26.6
2021-03,-3.8,1.05,5.7,-25.0
2021-04,6.25,2.57,21.4,-6.2
2021-05,13.45,2.6,28.9,2.6
2021-06,20.18,1.81,33.3,4.9
2021-07,22.17,1.07,33.0,11.6
2021-08,19.17,2.89,29.0,7.2
2021-09,9.75,2.89,22.4,0.1
2021-10,5.55,1.05,13.7,-3.7
2021-11,1.65,2.39,11.9,-7.7
2021-12,-7.95,1.98,1.5,-25.6
2022-01,-6.55,1.62,1.6,-19.1
2022-02,-2.67,1.05,3.2,-12.1
2022-03,-3.57,0.59,10.9,-16.4
2022-04,4.73,2.16,16.7,-10.1
2022-05,9.8,2.02,21.5,-2.0
2022-06,18.41,1.17,32.1,8.4
2022-07,20.42,2.18,31.2,9.4
2022-08,21.59,1.19,31.6,11.5
2022-09,9.73,2.66,16.9,0.9
2022-10,6.65,1.98,15.4,-4.1
2022-11,-1.28,1.34,11.6,-13.6
2022-12,-4.9,3.57,3.1,-15.4
2023-01,-6.07,1.44,5.9,-27.5
2023-02,-5.67,1.03,1.2,-17.9
2023-03,-0.89,1.86,9.8,-10.8
2023-04,8.22,1.21,20.7,-1.9
2023-05,12.05,1.4,25.4,-2.7
2023-06,16.37,1.04,27.5,3.4
2023-07,18.11,3.98,28.2,10.4
2023-08,19.28,0.72,30.7,8.4
2023-09,14.68,0.34,26.6,4.1
2023-10,5.06,3.29,17.2,-5.2
2023-11,-0.23,2.63,14.6,-17.5
2023-12,-5.89,2.35,3.2,-17.4
2024-01,-12.08,1.37,0.9,-31.0
2024-02,-6.46,1.54,1.9,-23.9
2024-03,-1.96,0.28,15.4,-16.8
2024-04,9.7,1.59,21.8,-4.8
2024-05,11.76,1.08,28.8,-1.8
2024-06,19.83,3.23,29.9,10.3
2024-07,21.87,2.05,32.8,11.4
2024-08,18.53,1.55,28.0,9.7
2024-09,16.76,0.45,29.1,3.0
2024-10,7.12,2.54,20.9,-3.4
2024-11,0.81,2.51,10.1,-9.3
2024-12,-2.81,1.54,2.5,-19.0
2025-01,-0.64,1.24,6.5,-8.9
2025-02,-5.98,0.11,3.8,-16.0
2025-03,3.44,1.12,14.1,-6.3
2025-04,7.97,2.05,25.9,-5.2
2025-05,13.57,2.33,29.1,0.9
2025-06,17.08,2.84,27.3,9.9
2025-07,22.2,2.66,35.0,11.2
2025-08,16.92,3.24,28.0,8.6
2025-09,13.57,0.41,25.6,0.4
2025-10,7.1,2.52,14.2,-0.9
2025-11,3.18,2.3,10.5,-5.4
2025-12,-1.75,1.37,4.3,-17.0
